taxonID	property	value	remarks
3782	CITES	Appendix II	Appendix II:Excludes fossils.
3784	CITES	Appendix II	Appendix II:Excludes fossils.
3785	CITES	Appendix II	
3786	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3787	CITES	Appendix II	Appendix II:Excludes fossils.
3788	CITES	Appendix II	Appendix II:Excludes fossils.
3790	CITES	Appendix II	
3794	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3797	CITES	Appendix II	Appendix II:Excludes fossils.
3798	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3800	CITES	Appendix II	Appendix II:Excludes fossils.
3802	CITES	Appendix II	
3803	CITES	Appendix II	Appendix II:Excludes fossils.
3805	CITES	Appendix II	
3809	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3810	CITES	Appendix II	
3814	CITES	Appendix II	Appendix II:Formerly included in Epipedobates spp.
3815	CITES	Appendix II	Appendix II:Excludes fossils.
3816	CITES	Appendix II	Appendix II:Excludes fossils.
3817	CITES	Appendix II	Appendix II:Excludes fossils.
3820	CITES	Appendix II	Appendix II:Excludes fossils.
3821	CITES	Appendix II	
